"","Ray","Time","Syringe","Variable","Value"
"1",7813,0,"P","Lac",1.15
"2",7813,0,"G","Lac",1.16
"3",7813,5,"P","Lac",1.18
"4",7813,5,"G","Lac",1.1
"5",7813,10,"P","Lac",1.11
"6",7813,10,"G","Lac",1.13
"7",7813,15,"P","Lac",1.12
"8",7813,15,"G","Lac",1.16
"9",7813,45,"P","Lac",1.11
"10",7813,45,"G","Lac",1.13
"11",7813,90,"P","Lac",1.16
"12",7813,90,"G","Lac",1.19
"13",7356,0,"P","Lac",0.68
"14",7356,0,"G","Lac",0.71
"15",7356,5,"P","Lac",0.68
"16",7356,5,"G","Lac",0.71
"17",7356,10,"P","Lac",0.69
"18",7356,10,"G","Lac",0.7
"19",7356,15,"P","Lac",0.7
"20",7356,15,"G","Lac",0.72
"21",7356,45,"P","Lac",0.67
"22",7356,45,"G","Lac",0.75
"23",7356,90,"P","Lac",0.66
"24",7356,90,"G","Lac",0.76
"25",1104,0,"P","Lac",0.92
"26",1104,5,"P","Lac",0.93
"27",1104,10,"P","Lac",0.93
"28",1104,15,"P","Lac",0.9
"29",1104,45,"P","Lac",0.91
"30",1104,90,"P","Lac",0.95
"31",2315,0,"P","Lac",1.64
"32",2315,0,"G","Lac",1.61
"33",2315,5,"P","Lac",1.58
"34",2315,5,"G","Lac",1.59
"35",2315,10,"P","Lac",1.58
"36",2315,15,"P","Lac",1.56
"37",2315,45,"P","Lac",1.59
"38",2315,90,"P","Lac",1.57
"39",4981,0,"P","Lac",1.51
"40",4981,5,"P","Lac",1.51
"41",4981,10,"P","Lac",1.46
"42",4981,15,"P","Lac",1.51
"43",4981,45,"P","Lac",1.53
"44",4981,45,"G","Lac",1.57
"45",4981,90,"P","Lac",1.47
"46",4981,90,"G","Lac",1.54
"47",9901,0,"P","Lac",0.39
"48",9901,5,"P","Lac",0.36
"49",9901,10,"P","Lac",0.37
"50",9901,15,"P","Lac",0.4
"51",9901,45,"P","Lac",0.37
"52",9901,45,"G","Lac",0.38
"53",9901,90,"P","Lac",0.36
"54",9901,90,"G","Lac",0.38
"55",7616,0,"P","Lac",1.38
"56",7616,5,"P","Lac",1.36
"57",7616,10,"P","Lac",1.33
"58",7616,15,"P","Lac",1.35
"59",7616,45,"P","Lac",1.33
"60",7616,90,"P","Lac",1.29
"61",4454,0,"P","Lac",0.84
"62",4454,5,"P","Lac",0.82
"63",4454,10,"P","Lac",0.8
"64",4454,15,"P","Lac",0.81
"65",4454,45,"P","Lac",0.78
"66",4454,90,"P","Lac",0.75
"67",130,0,"P","Lac",0.62
"68",130,0,"G","Lac",0.59
"69",130,5,"P","Lac",0.6
"70",130,5,"G","Lac",0.63
"71",130,10,"P","Lac",0.63
"72",130,10,"G","Lac",0.63
"73",130,15,"P","Lac",0.61
"74",130,45,"P","Lac",0.64
"75",130,90,"P","Lac",0.63
"76",1055,0,"P","Lac",1.25
"77",1055,0,"G","Lac",1.2
"78",1055,5,"P","Lac",1.24
"79",1055,5,"G","Lac",1.17
"80",1055,10,"P","Lac",1.22
"81",1055,10,"G","Lac",1.14
"82",1055,15,"P","Lac",1.2
"83",1055,45,"P","Lac",1.22
"84",1055,90,"P","Lac",1.23
"85",7813,0,"P","pH",7.57983
"86",7813,0,"G","pH",7.57665
"87",7813,5,"P","pH",7.583805
"88",7813,5,"G","pH",7.57665
"89",7813,10,"P","pH",7.58301
"90",7813,10,"G","pH",7.57188
"91",7813,15,"P","pH",7.5846
"92",7813,15,"G","pH",7.575855
"93",7813,45,"P","pH",7.569495
"94",7813,45,"G","pH",7.569495
"95",7813,90,"P","pH",7.57029
"96",7813,90,"G","pH",7.561545
"97",7356,0,"P","pH",7.607655
"98",7356,0,"G","pH",7.602885
"99",7356,5,"P","pH",7.609245
"100",7356,5,"G","pH",7.598115
"101",7356,10,"P","pH",7.602885
"102",7356,10,"G","pH",7.6005
"103",7356,15,"P","pH",7.59573
"104",7356,15,"G","pH",7.574265
"105",7356,45,"P","pH",7.575855
"106",7356,45,"G","pH",7.54962
"107",7356,90,"P","pH",7.559955
"108",7356,90,"G","pH",7.49397
"109",1104,0,"P","pH",7.606065
"110",1104,5,"P","pH",7.601295
"111",1104,10,"P","pH",7.59891
"112",1104,15,"P","pH",7.609245
"113",1104,45,"P","pH",7.604475
"114",1104,90,"P","pH",7.55598
"115",2315,0,"P","pH",7.51782
"116",2315,0,"G","pH",7.51305
"117",2315,5,"P","pH",7.523385
"118",2315,5,"G","pH",7.517025
"119",2315,10,"P","pH",7.52736
"120",2315,15,"P","pH",7.521795
"121",2315,45,"P","pH",7.521
"122",2315,90,"P","pH",7.510665
"123",4981,0,"P","pH",7.544055
"124",4981,0,"G","pH",7.534515
"125",4981,5,"P","pH",7.54167
"126",4981,5,"G","pH",7.53372
"127",4981,10,"P","pH",7.5369
"128",4981,10,"G","pH",7.5369
"129",4981,15,"P","pH",7.54008
"130",4981,15,"G","pH",7.531335
"131",4981,45,"P","pH",7.53213
"132",4981,45,"G","pH",7.52259
"133",4981,90,"P","pH",7.513845
"134",4981,90,"G","pH",7.524975
"135",9901,0,"P","pH",7.60845
"136",9901,0,"G","pH",7.617195
"137",9901,5,"P","pH",7.60845
"138",9901,5,"G","pH",7.612425
"139",9901,10,"P","pH",7.60209
"140",9901,10,"G","pH",7.618785
"141",9901,15,"P","pH",7.606065
"142",9901,15,"G","pH",7.60209
"143",9901,45,"P","pH",7.598115
"144",9901,45,"G","pH",7.612425
"145",9901,90,"P","pH",7.582215
"146",9901,90,"G","pH",7.58778
"147",7616,0,"P","pH",7.56711
"148",7616,0,"G","pH",7.552005
"149",7616,5,"P","pH",7.5528
"150",7616,5,"G","pH",7.556775
"151",7616,10,"P","pH",7.55121
"152",7616,10,"G","pH",7.558365
"153",7616,15,"P","pH",7.54644
"154",7616,15,"G","pH",7.564725
"155",7616,45,"G","pH",7.55439
"156",7616,90,"P","pH",7.521
"157",7616,90,"G","pH",7.513845
"158",4454,0,"P","pH",7.6164
"159",4454,5,"P","pH",7.614015
"160",4454,10,"P","pH",7.618785
"161",4454,15,"P","pH",7.61481
"162",4454,45,"P","pH",7.606065
"163",4454,90,"P","pH",7.59732
"164",130,0,"P","pH",7.620375
"165",130,0,"G","pH",7.59891
"166",130,5,"P","pH",7.60845
"167",130,5,"G","pH",7.56234
"168",130,10,"P","pH",7.602885
"169",130,10,"G","pH",7.507485
"170",130,15,"P","pH",7.610835
"171",130,15,"G","pH",7.62117
"172",130,45,"P","pH",7.598115
"173",130,45,"G","pH",7.61004
"174",130,90,"P","pH",7.56234
"175",130,90,"G","pH",7.60527
"176",1055,0,"P","pH",7.59096
"177",1055,0,"G","pH",7.62117
"178",1055,5,"P","pH",7.59891
"179",1055,5,"G","pH",7.6005
"180",1055,10,"P","pH",7.58937
"181",1055,10,"G","pH",7.60209
"182",1055,15,"P","pH",7.594935
"183",1055,45,"P","pH",7.58778
"184",7813,0,"P","PCO2",2.5915
"185",7813,0,"G","PCO2",2.5569
"186",7813,5,"P","PCO2",2.5742
"187",7813,5,"G","PCO2",2.5742
"188",7813,10,"P","PCO2",2.6088
"189",7813,10,"G","PCO2",2.6261
"190",7813,15,"P","PCO2",2.5915
"191",7813,15,"G","PCO2",2.5569
"192",7813,45,"P","PCO2",2.6261
"193",7813,45,"G","PCO2",2.5742
"194",7813,90,"P","PCO2",2.6434
"195",7813,90,"G","PCO2",2.6953
"196",7356,0,"P","PCO2",2.3839
"197",7356,0,"G","PCO2",2.4185
"198",7356,5,"P","PCO2",2.3493
"199",7356,5,"G","PCO2",2.3666
"200",7356,10,"P","PCO2",2.332
"201",7356,10,"G","PCO2",2.4185
"202",7356,15,"P","PCO2",2.3666
"203",7356,15,"G","PCO2",2.4704
"204",7356,45,"P","PCO2",2.4704
"205",7356,45,"G","PCO2",2.6434
"206",7356,90,"P","PCO2",2.5742
"207",7356,90,"G","PCO2",2.7991
"208",1104,0,"P","PCO2",2.3493
"209",1104,5,"P","PCO2",2.3666
"210",1104,10,"P","PCO2",2.3666
"211",1104,15,"P","PCO2",2.3839
"212",1104,45,"P","PCO2",2.3493
"213",1104,90,"P","PCO2",2.5396
"214",2315,0,"P","PCO2",2.9202
"215",2315,0,"G","PCO2",2.8683
"216",2315,5,"P","PCO2",2.851
"217",2315,5,"G","PCO2",2.8683
"218",2315,10,"P","PCO2",2.8683
"219",2315,15,"P","PCO2",2.9029
"220",2315,45,"P","PCO2",2.851
"221",2315,90,"P","PCO2",2.9202
"222",4981,0,"P","PCO2",2.6953
"223",4981,0,"G","PCO2",2.7299
"224",4981,5,"P","PCO2",2.7645
"225",4981,5,"G","PCO2",2.7472
"226",4981,10,"P","PCO2",2.7645
"227",4981,10,"G","PCO2",2.7645
"228",4981,15,"P","PCO2",2.7472
"229",4981,15,"G","PCO2",2.7645
"230",4981,45,"P","PCO2",2.7645
"231",4981,45,"G","PCO2",2.7991
"232",4981,90,"P","PCO2",2.851
"233",4981,90,"G","PCO2",2.7818
"234",9901,0,"P","PCO2",2.505
"235",9901,0,"G","PCO2",2.3839
"236",9901,5,"P","PCO2",2.4358
"237",9901,5,"G","PCO2",2.4704
"238",9901,10,"P","PCO2",2.4877
"239",9901,10,"G","PCO2",2.5223
"240",9901,15,"P","PCO2",2.4704
"241",9901,15,"G","PCO2",2.4877
"242",9901,45,"P","PCO2",2.4704
"243",9901,45,"G","PCO2",2.4704
"244",9901,90,"P","PCO2",2.5396
"245",9901,90,"G","PCO2",2.5223
"246",7616,0,"P","PCO2",2.4358
"247",7616,0,"G","PCO2",2.3493
"248",7616,5,"P","PCO2",2.4704
"249",7616,5,"G","PCO2",2.4185
"250",7616,10,"P","PCO2",2.4877
"251",7616,10,"G","PCO2",2.4185
"252",7616,15,"P","PCO2",2.5223
"253",7616,15,"G","PCO2",2.4531
"254",7616,45,"G","PCO2",2.4877
"255",7616,90,"P","PCO2",2.5742
"256",7616,90,"G","PCO2",2.6434
"257",4454,0,"P","PCO2",2.4012
"258",4454,5,"P","PCO2",2.3839
"259",4454,10,"P","PCO2",2.3666
"260",4454,15,"P","PCO2",2.332
"261",4454,45,"P","PCO2",2.332
"262",4454,90,"P","PCO2",2.3147
"263",130,0,"P","PCO2",2.159
"264",130,0,"G","PCO2",2.2109
"265",130,5,"P","PCO2",2.1417
"266",130,5,"G","PCO2",2.3839
"267",130,10,"P","PCO2",2.1936
"268",130,10,"G","PCO2",2.5742
"269",130,15,"P","PCO2",2.2109
"270",130,15,"G","PCO2",2.0898
"271",130,45,"P","PCO2",2.2109
"272",130,45,"G","PCO2",2.1763
"273",130,90,"P","PCO2",2.332
"274",130,90,"G","PCO2",2.1763
"275",1055,0,"P","PCO2",2.5569
"276",1055,0,"G","PCO2",2.3839
"277",1055,5,"P","PCO2",2.5569
"278",1055,5,"G","PCO2",2.4185
"279",1055,10,"P","PCO2",2.505
"280",1055,10,"G","PCO2",2.4185
"281",1055,15,"P","PCO2",2.5915
"282",1055,45,"P","PCO2",2.5396
"283",7813,0,"P","PO2",-1.449
"284",7813,5,"P","PO2",1.983
"285",7813,5,"G","PO2",-1.449
"286",7813,10,"P","PO2",1.411
"287",7813,10,"G","PO2",-1.449
"288",7813,15,"P","PO2",-1.449
"289",7813,15,"G","PO2",1.983
"290",7813,45,"P","PO2",1.983
"291",7813,45,"G","PO2",3.127
"292",7813,90,"P","PO2",1.983
"293",7813,90,"G","PO2",3.127
"294",7356,0,"P","PO2",-1.449
"295",7356,0,"G","PO2",-1.449
"296",7356,5,"P","PO2",1.983
"297",7356,5,"G","PO2",1.983
"298",7356,10,"P","PO2",3.127
"299",7356,10,"G","PO2",-1.449
"300",7356,15,"P","PO2",3.127
"301",7356,15,"G","PO2",2.555
"302",7356,45,"P","PO2",3.699
"303",7356,45,"G","PO2",4.843
"304",7356,90,"P","PO2",3.127
"305",7356,90,"G","PO2",12.851
"306",1104,0,"P","PO2",-1.449
"307",1104,5,"P","PO2",-1.449
"308",1104,10,"P","PO2",-1.449
"309",1104,15,"P","PO2",1.411
"310",1104,45,"P","PO2",2.555
"311",1104,90,"P","PO2",4.271
"312",2315,5,"P","PO2",-1.449
"313",2315,5,"G","PO2",-1.449
"314",2315,15,"P","PO2",-1.449
"315",4981,0,"P","PO2",1.983
"316",4981,0,"G","PO2",1.983
"317",4981,5,"P","PO2",1.983
"318",4981,5,"G","PO2",3.699
"319",4981,10,"P","PO2",1.983
"320",4981,10,"G","PO2",2.555
"321",4981,15,"P","PO2",1.983
"322",4981,15,"G","PO2",2.555
"323",4981,45,"P","PO2",2.555
"324",4981,45,"G","PO2",2.555
"325",4981,90,"P","PO2",1.983
"326",4981,90,"G","PO2",2.555
"327",9901,0,"P","PO2",1.983
"328",9901,0,"G","PO2",2.555
"329",9901,5,"P","PO2",2.555
"330",9901,5,"G","PO2",1.983
"331",9901,10,"P","PO2",2.555
"332",9901,10,"G","PO2",1.983
"333",9901,15,"P","PO2",2.555
"334",9901,15,"G","PO2",1.983
"335",9901,45,"P","PO2",3.127
"336",9901,45,"G","PO2",3.127
"337",9901,90,"P","PO2",3.127
"338",9901,90,"G","PO2",2.555
"339",7616,0,"P","PO2",3.127
"340",7616,0,"G","PO2",2.555
"341",7616,5,"P","PO2",3.127
"342",7616,5,"G","PO2",3.127
"343",7616,10,"P","PO2",3.127
"344",7616,10,"G","PO2",3.699
"345",7616,15,"P","PO2",3.699
"346",7616,15,"G","PO2",3.127
"347",7616,45,"P","PO2",3.699
"348",7616,45,"G","PO2",4.843
"349",7616,90,"P","PO2",6.559
"350",7616,90,"G","PO2",5.415
"351",4454,10,"P","PO2",-1.449
"352",4454,15,"P","PO2",-1.449
"353",4454,45,"P","PO2",-1.449
"354",4454,90,"P","PO2",3.127
"355",130,0,"P","PO2",3.127
"356",130,0,"G","PO2",4.271
"357",130,5,"P","PO2",4.271
"358",130,5,"G","PO2",5.987
"359",130,10,"P","PO2",4.843
"360",130,10,"G","PO2",9.419
"361",130,15,"P","PO2",4.271
"362",130,15,"G","PO2",2.555
"363",130,45,"P","PO2",4.271
"364",130,45,"G","PO2",2.555
"365",130,90,"P","PO2",6.559
"366",130,90,"G","PO2",3.127
"367",1055,0,"P","PO2",-1.449
"368",1055,0,"G","PO2",1.411
"369",1055,5,"P","PO2",-1.449
"370",1055,5,"G","PO2",-1.449
"371",1055,10,"P","PO2",1.411
"372",1055,10,"G","PO2",3.127
"373",1055,15,"P","PO2",-1.449
"374",1055,45,"P","PO2",1.411
